"author,word1,word2,source"
"289,maudie,atticus,AC"
"312,limpet,mine,AC"
"235,magneto,fiction,AC"
"312,john deere,tractor,AC"
"218,read,library,AC"
"262,composition,computer,AC"
"248,toilet,break,AC"
"235,elusive,butterfly,AC"
"39,fire,habanero,AC"
"42,boat,sink,AC"
"133,break,leg,AC"
"22,travel,explore,AC"
"12,round,top,AC"
"12,deceit,catfish,AC"
"309,choreography,drama,AC"
"248,back flip,cartwheel,AC"
"235,phobia,mania,AC"
"312,tiramisu,italy,AC"
"12,head,gasket,AC"
"115,brimstone,sulfur,AC"
"97,stone,henge,AC"
"312,temple,ephesus,AC"
"42,flash flood,beads,AC"
"12,sheep,wool,AC"
"39,ganja,garden,AC"
"172,pima,sioux,AC"
"235,leg,walk,AC"
"235,xiii,an example of the use of straight lines to represent a number,AC"
"110,breath,kinky,AC"
"118,prime,rib,AC"
"178,variability,fluctuation,AC"
"111,lizard,reptile,AC"
"262,costly,prescriptions,AC"
"235,train,box cars and dining cars and flatbeds,AC"
"235,felt,wool,AC"
"242,mouth,fangs,AC"
"12,hilarious,monty python,AC"
"200,scrub,the decks,AC"
"312,linux,kernel,AC"
"39,prisoner,number 6,AC"
"161,au,au pair,AC"
"241,meat,head,AC"
"12,cylinder,head,AC"
"12,movie,popcorn,AC"
"39,fall,spring,AC"
"235,bantam,midget,AC"
"39,inexplicable,mystery,AC"
"309,klaxon,horn,AC"
"254,one,neo,AC"
"12,sport,competition,AC"
"254,major,general,AC"
"111,person,individual,AC"
"248,x and o,wrong,AC"
"133,hickory,dickory,AC"
"262,priest,religious,AC"
"172,capitalist,pig,AC"
"118,break,prison,AC"
"39,shades,ghosts,AC"
"39,bad,bone,AC"
"118,extremists,minimists,AC"
"302,robbers,hamburglar,AC"
"235,brainwaves,synaptic activity,AC"
"133,naval,gazing,AC"
"312,door,jam,AC"
"42,rascal,hover,AC"
"241,@,ampersand,AC"
"39,store,warehouse,AC"
"39,hatch,down,AC"
"118,squid,quantum physics,AC"
"39,squidward,patrick,AC"
"302,magic,gathering,AC"
"235,sting,guy with white hair,AC"
"39,moldy,oldie,AC"
"200,montezuma,satsuma,AC"
"262,there's no crying in baseball,umpire,AC"
"39,frogs legs,tastes like chicken,AC"
"312,memory,stick,AC"
"133,bureaucrat,adjustment,AC"
"12,andre,giant,AC"
"235,costume,playing dress up with curtains,AC"
"133,aggression,anger management,AC"
"297,golden,the 60's,AC"
"39,halt and catch fire,crash and burn,AC"
"248,young,ones,AC"
"122,stripper,turpentine,AC"
"221,watch,clock,AC"
"235,pensive,thoughtful,AC"
"12,roundhead,scourge,AC"
"235,new,original,AC"
"12,wagon train,ward bond,AC"
"12,lungs,breathe,AC"
"235,benedict cumberbatch,eggs and cucumbers,AC"
"39,selective trimming,haircut,AC"
"312,sir,madam,AC"
"12,road,rage,AC"
"133,flexible,straws,AC"
"122,guyana,gal,AC"
"12,jump-rope,hangman's noose,AC"
"248,argue,fight,AC"
"12,soap,opera,AC"
"39,pictures,shake,AC"
"235,sheep,animals that flock together,AC"
"118,troubadours,racism,AC"
"248,stadium,oval,AC"
"254,detent,shun,AC"
"12,fox,desert,AC"
"12,cul de sac,court,AC"
"39,chicken,soup,AC"
"39,self aware,ego,AC"
"118,band,rubber,AC"
"248,jack,beans,AC"
"12,actor,player,AC"
"273,wreath,laura ingalls wilder,AC"
"12,responsibilities,liabilities,AC"
"12,peyote,toltecs,AC"
"12,were-wolf,there,AC"
"133,hello kitty,soft kitty,AC"
"196,water,sink,AC"
"12,blood,sanguine,AC"
"262,tee shirt,wearing,AC"
"133,front,teeth,AC"
"76,stirling,silver,AC"
"12,princess,cruises,AC"
"277,bank,inefficient,AC"
"118,grover,garcon,AC"
"124,examination,university,AC"
"241,outbreak,prison,AC"
"248,call,phone,AC"
"262,lawyer,law,AC"
"133,candy,floss,AC"
"221,liability,the new zealand prime minister,AC"
"273,fish,smelly,AC"
"262,neurology,brain,AC"
"108,nevada test site,impact,AC"
"12,armoured,vehicle,AC"
"133,cigarettes,smoking kills,AC"
"103,fast,accelerate,AC"
"133,rice,pudding,AC"
