Compound,Date,Favorite Count,Retweet Count,Text
0.8591,Wed Apr 18 00:10:33 +0000 2018,613,613,"Throughout her life, Barbara Bush showed us all the importance of charity, literacy, and love of country. Our thoug… https://t.co/gWRsnRnCzr"
0.0,Mon Apr 09 22:57:32 +0000 2018,17236,17236,"Every Apple store, every data center, every Apple corporate office — everywhere — is now powered by 100 percent ren… https://t.co/FaWrMqlKK2"
0.3818,Mon Apr 09 13:30:21 +0000 2018,2266,2266,"Thanks to Apple customers around the world for helping raise more than $160 million for @RED, fighting the spread o… https://t.co/jPGVyJA6t5"
-0.8126,Sat Apr 07 16:30:19 +0000 2018,1196,1196,Our hearts go out to the victims in Münster and their families today in the wake of another tragic attack. 🇩🇪
0.6114,Sat Apr 07 04:42:04 +0000 2018,1125,1125,"Apple loves Tokyo and our customers, employees, developers and partners across Japan! Apple Shinjuku is here for yo… https://t.co/5gISFY7HWv"
0.7096,Wed Apr 04 20:30:56 +0000 2018,354,354,Great visit @LawsonStateCC. Alabama’s @ACCS_Education is the first to roll out the Swift Coding Curriculum statewid… https://t.co/L9zpxrkGMK
0.4404,Wed Apr 04 18:10:06 +0000 2018,435,435,"Full of hope this morning, hearing from hundreds of Alabama students who are carrying Dr. King's legacy into the fu… https://t.co/sqqHPlo99L"
0.8689,Wed Apr 04 16:50:33 +0000 2018,1268,1268,"It’s an honor to be in Birmingham celebrating Dr. King’s life today. ""Let us all hope that...in some not too distan… https://t.co/MXZ3zbFyZy"
0.3862,Tue Apr 03 21:52:26 +0000 2018,7348,7348,"From everyone at Apple, we send our sympathy and support to the team at YouTube and Google, especially the victims and their families."
0.9517,Sun Apr 01 14:05:28 +0000 2018,1384,1384,"Wishing a #HappyEaster to people everywhere. May we all enjoy the blessings of peace, hope and kindness."
0.4215,Fri Mar 30 21:25:55 +0000 2018,589,589,Chag Sameach to everyone around the world sharing the story of Passover tonight.
0.8779,Tue Mar 27 19:53:04 +0000 2018,810,810,Thanks to the students and faculty of Lane Tech for being our gracious hosts. Rich with history and forward-thinkin… https://t.co/0ZKhAZDPK5
0.75,Tue Mar 27 12:46:22 +0000 2018,2745,2745,"Good morning, Chicago! We’re going back to school today for some exciting announcements in education. https://t.co/7FhJ927reO"
0.1154,Tue Mar 27 00:41:27 +0000 2018,1410,1410,"""In the field of public education the doctrine of 'separate but equal' has no place."" Thank you to Linda Brown for… https://t.co/xnC3QXWHoT"
0.8858,Mon Mar 26 00:24:16 +0000 2018,600,600,Congratulations to @DukeMBB and Coach K on a terrific season!  You make us all proud #Duke
0.4019,Mon Mar 19 17:22:23 +0000 2018,730,730,"We stand with our Austin coworkers, friends and neighbors who are facing such senseless attacks. Thank you to all t… https://t.co/twekVmGdze"
0.8395,Sat Mar 17 12:49:19 +0000 2018,807,807,Happy #StPatricksDay to our team in Ireland and everyone celebrating around the world! Sláinte!
0.4234,Wed Mar 14 12:58:16 +0000 2018,9660,9660,"“The greatest enemy of knowledge is not ignorance, it is the illusion of knowledge.” -Stephen Hawking. We will alwa… https://t.co/WliBtbxEIU"
0.3818,Thu Mar 08 14:01:10 +0000 2018,3118,3118,“There are two powers in the world; one is the sword and the other is the pen. There is a third power stronger than… https://t.co/gjbyF6alPW
0.9576,Sat Mar 03 22:43:23 +0000 2018,1020,1020,So proud of @AuburnMBB @coachbrucepearl on winning the SEC Championship. Congrats! Party like its 1999!
0.8591,Wed Apr 18 00:10:33 +0000 2018,613,613,"Throughout her life, Barbara Bush showed us all the importance of charity, literacy, and love of country. Our thoug… https://t.co/gWRsnRnCzr"
0.0,Mon Apr 09 22:57:32 +0000 2018,17236,17236,"Every Apple store, every data center, every Apple corporate office — everywhere — is now powered by 100 percent ren… https://t.co/FaWrMqlKK2"
0.3818,Mon Apr 09 13:30:21 +0000 2018,2266,2266,"Thanks to Apple customers around the world for helping raise more than $160 million for @RED, fighting the spread o… https://t.co/jPGVyJA6t5"
-0.8126,Sat Apr 07 16:30:19 +0000 2018,1196,1196,Our hearts go out to the victims in Münster and their families today in the wake of another tragic attack. 🇩🇪
0.6114,Sat Apr 07 04:42:04 +0000 2018,1125,1125,"Apple loves Tokyo and our customers, employees, developers and partners across Japan! Apple Shinjuku is here for yo… https://t.co/5gISFY7HWv"
0.7096,Wed Apr 04 20:30:56 +0000 2018,354,354,Great visit @LawsonStateCC. Alabama’s @ACCS_Education is the first to roll out the Swift Coding Curriculum statewid… https://t.co/L9zpxrkGMK
0.4404,Wed Apr 04 18:10:06 +0000 2018,435,435,"Full of hope this morning, hearing from hundreds of Alabama students who are carrying Dr. King's legacy into the fu… https://t.co/sqqHPlo99L"
